dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.680124,3.221644,7.265341,1.472014,-5.116872,9.554666,1.535252
0.020000,4.681051,3.249101,7.292813,1.373602,-4.920626,9.812322,1.538899
0.020000,4.681823,3.274665,7.318389,1.278791,-4.740543,9.004119,1.542266
0.020000,4.682464,3.298411,7.342144,1.187732,-4.552950,9.379666,1.545369
0.020000,4.682992,3.320410,7.364149,1.100267,-4.373230,8.985994,1.548223
0.020000,4.683424,3.340731,7.384475,1.016302,-4.198285,8.747263,1.550842
0.020000,4.683775,3.359447,7.403194,0.935952,-4.017465,9.040974,1.553239
0.020000,4.684058,3.376625,7.420375,0.859037,-3.845749,8.585812,1.555427
0.020000,4.684284,3.392335,7.436086,0.785537,-3.675041,8.535384,1.557417
0.020000,4.684462,3.406643,7.450395,0.715459,-3.503903,8.556933,1.559222
0.020000,4.684602,3.419618,7.463371,0.648809,-3.332476,8.571345,1.560851
0.020000,4.684710,3.431326,7.475080,0.585424,-3.169249,8.161343,1.562315
0.020000,4.684792,3.441835,7.485589,0.525466,-2.997894,8.567734,1.563625
0.020000,4.684854,3.451210,7.494964,0.468755,-2.835576,8.115916,1.564790
0.020000,4.684899,3.459516,7.503271,0.415326,-2.671416,8.207983,1.565819
0.020000,4.684933,3.466820,7.510574,0.365193,-2.506655,8.238063,1.566721
0.020000,4.684956,3.473186,7.516940,0.318292,-2.345075,8.079018,1.567507
0.020000,4.684972,3.478680,7.522434,0.274689,-2.180147,8.246373,1.568183
0.020000,4.684983,3.483367,7.527121,0.234352,-2.016856,8.164544,1.568759
0.020000,4.684990,3.487309,7.531063,0.197108,-1.862193,7.733171,1.569243
0.020000,4.684995,3.490574,7.534328,0.163240,-1.693385,8.440418,1.569643
0.020000,4.684997,3.493223,7.536978,0.132493,-1.537365,7.800959,1.569968
0.020000,4.684999,3.495323,7.539077,0.104965,-1.376402,8.048155,1.570224
0.020000,4.684999,3.496936,7.540691,0.080685,-1.214012,8.119512,1.570422
0.020000,4.685000,3.498128,7.541883,0.059594,-1.054525,7.974354,1.570568
0.020000,4.685000,3.498962,7.542717,0.041696,-0.894883,7.982085,1.570670
0.020000,4.685000,3.499502,7.543257,0.026994,-0.735130,7.987672,1.570735
0.020000,4.685000,3.499812,7.543566,0.015488,-0.575301,7.991464,1.570773
0.020000,4.685000,3.499955,7.543710,0.007179,-0.415424,7.993810,1.570791
0.020000,4.685000,3.499997,7.543751,0.002069,-0.255523,7.995062,1.570796
0.020000,4.685000,3.500000,7.543754,0.000157,-0.095612,7.995572,1.570796
0.020000,4.685000,3.500000,7.543754,0.000000,-0.007827,4.389214,1.570796
