dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.631104,1.579737,1.705344,2.052476,-0.912337,3.489050,0.629886
0.020000,1.663653,1.604213,1.746069,2.036217,-0.812966,4.968519,0.659724
0.020000,1.695237,1.629484,1.786519,2.022498,-0.685965,6.350085,0.690001
0.020000,1.725874,1.655566,1.826755,2.011794,-0.535211,7.537660,0.720620
0.020000,1.755586,1.682481,1.866844,2.004489,-0.365225,8.499321,0.751478
0.020000,1.784400,1.710251,1.906862,2.000870,-0.180980,9.212272,0.782466
0.020000,1.812332,1.738895,1.946870,2.000439,-0.021539,7.972002,0.813463
0.020000,1.839403,1.768430,1.986935,2.003210,0.138547,8.004324,0.844349
0.020000,1.865635,1.798884,2.027129,2.009701,0.324558,9.300568,0.875015
0.020000,1.891052,1.830278,2.067522,2.019645,0.497192,8.631705,0.905356
0.020000,1.915669,1.862631,2.108175,2.032682,0.651869,7.733823,0.935274
0.020000,1.939497,1.895955,2.149142,2.048345,0.783162,6.564635,0.964678
0.020000,1.962543,1.930253,2.190464,2.066094,0.887439,5.213862,0.993487
0.020000,1.984809,1.965519,2.232171,2.085342,0.962417,3.748885,1.021630
0.020000,2.006291,2.001737,2.274280,2.105479,1.006839,2.221110,1.049046
0.020000,2.026986,2.038878,2.316798,2.125854,1.018746,0.595366,1.075684
0.020000,2.046885,2.076904,2.359716,2.145900,1.002290,-0.822784,1.101503
0.020000,2.065980,2.115766,2.403016,2.165008,0.955428,-2.343122,1.126474
0.020000,2.084265,2.155405,2.446669,2.182650,0.882081,-3.667326,1.150575
0.020000,2.101730,2.195753,2.490635,2.198309,0.782967,-4.955700,1.173794
0.020000,2.118373,2.236735,2.534867,2.211587,0.663876,-5.954595,1.196124
0.020000,2.134189,2.278266,2.579308,2.222065,0.523887,-6.999403,1.217566
0.020000,2.149180,2.320260,2.623897,2.229445,0.369027,-7.743043,1.238127
0.020000,2.163348,2.362622,2.668565,2.233424,0.198945,-8.504070,1.257818
0.020000,2.176699,2.405257,2.713242,2.233814,0.019485,-8.973016,1.276654
0.020000,2.189245,2.448065,2.757850,2.230424,-0.169492,-9.448859,1.294651
0.020000,2.200997,2.490945,2.802312,2.223094,-0.366478,-9.849301,1.311831
0.020000,2.211971,2.533798,2.846547,2.211775,-0.565993,-9.975728,1.328214
0.020000,2.222188,2.576520,2.890475,2.196364,-0.770541,-10.227406,1.343824
0.020000,2.231667,2.619013,2.934012,2.176842,-0.976080,-10.276936,1.358684
0.020000,2.240433,2.661175,2.977075,2.153176,-1.183296,-10.360836,1.372817
0.020000,2.248512,2.702907,3.019582,2.125356,-1.391028,-10.386560,1.386248
0.020000,2.255931,2.744114,3.061451,2.093463,-1.594621,-10.179653,1.398998
0.020000,2.262719,2.784699,3.102600,2.057447,-1.800794,-10.308652,1.411093
0.020000,2.268906,2.824570,3.142949,2.017429,-2.000943,-10.007488,1.422552
0.020000,2.274522,2.863636,3.182416,1.973357,-2.203561,-10.130870,1.433398
0.020000,2.279600,2.901808,3.220924,1.925408,-2.397470,-9.695470,1.443651
0.020000,2.284171,2.938999,3.258395,1.873552,-2.592793,-9.766140,1.453330
0.020000,2.288266,2.975126,3.294754,1.817908,-2.782182,-9.469430,1.462453
0.020000,2.291918,3.010105,3.329923,1.758485,-2.971154,-9.448639,1.471038
0.020000,2.295159,3.043857,3.363830,1.695364,-3.156064,-9.245460,1.479101
0.020000,2.298018,3.076305,3.396404,1.628676,-3.334427,-8.918160,1.486656
0.020000,2.300529,3.107392,3.427592,1.559397,-3.463938,-6.475561,1.493721
0.020000,2.302724,3.137086,3.457367,1.488752,-3.532242,-3.415208,1.500318
0.020000,2.304632,3.165359,3.485704,1.416849,-3.595139,-3.144845,1.506467
0.020000,2.306284,3.192206,3.512602,1.344914,-3.596770,-0.081559,1.512190
0.020000,2.307709,3.217647,3.538083,1.274053,-3.543048,2.686135,1.517512
0.020000,2.308932,3.241707,3.562174,1.204522,-3.476536,3.325592,1.522458
