dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.056968,8.815000,3.056996,3.438283,-1.023806,-6.801601,0.000000
0.020000,3.125270,8.815000,3.125297,3.415086,-1.159838,-6.801601,0.000000
0.020000,3.193054,8.815000,3.193081,3.389169,-1.295870,-6.801601,0.000000
0.020000,3.260264,8.815000,3.260291,3.360531,-1.431902,-6.801601,0.000000
0.020000,3.326848,8.815000,3.326875,3.329172,-1.567934,-6.801601,0.000000
0.020000,3.392749,8.815000,3.392777,3.295093,-1.703966,-6.801601,0.000000
0.020000,3.457915,8.815000,3.457943,3.258293,-1.839998,-6.801601,0.000000
0.020000,3.522291,8.815000,3.522318,3.218772,-1.976030,-6.801601,0.000000
0.020000,3.585821,8.815000,3.585849,3.176531,-2.112062,-6.801601,0.000000
0.020000,3.648453,8.815000,3.648480,3.131569,-2.248094,-6.801601,0.000000
0.020000,3.710131,8.815000,3.710158,3.083887,-2.384126,-6.801601,0.000000
0.020000,3.770800,8.815000,3.770827,3.033483,-2.520159,-6.801601,0.000000
0.020000,3.830407,8.815000,3.830435,2.980360,-2.656191,-6.801601,0.000000
0.020000,3.888898,8.815000,3.888925,2.924515,-2.792223,-6.801601,0.000000
0.020000,3.946217,8.815000,3.946244,2.865950,-2.928255,-6.801601,0.000000
0.020000,4.002310,8.815000,4.002337,2.804664,-3.064287,-6.801601,0.000000
0.020000,4.057123,8.815000,4.057150,2.740658,-3.200319,-6.801601,0.000000
0.020000,4.110602,8.815000,4.110629,2.673931,-3.336351,-6.801601,0.000000
0.020000,4.162691,8.815000,4.162719,2.604483,-3.472383,-6.801601,0.000000
0.020000,4.213338,8.815000,4.213365,2.532315,-3.608415,-6.801601,0.000000
0.020000,4.262486,8.815000,4.262513,2.457426,-3.744447,-6.801601,0.000000
0.020000,4.310083,8.815000,4.310110,2.379816,-3.880479,-6.801601,0.000000
0.020000,4.356072,8.815000,4.356099,2.299486,-4.016511,-6.801601,0.000000
0.020000,4.400401,8.815000,4.400428,2.216435,-4.152543,-6.801601,0.000000
0.020000,4.443014,8.815000,4.443041,2.130664,-4.288575,-6.801601,0.000000
0.020000,4.483858,8.815000,4.483885,2.042172,-4.424607,-6.801601,0.000000
0.020000,4.522877,8.815000,4.522904,1.950959,-4.560639,-6.801601,0.000000
0.020000,4.560017,8.815000,4.560045,1.857026,-4.696671,-6.801601,0.000000
0.020000,4.595226,8.815000,4.595253,1.760443,-4.829137,-6.623289,0.000000
0.020000,4.628505,8.815000,4.628532,1.663931,-4.825570,0.178312,0.000000
0.020000,4.659908,8.815000,4.659935,1.570141,-4.689538,6.801601,0.000000
0.020000,4.689489,8.815000,4.689516,1.479071,-4.553506,6.801601,0.000000
0.020000,4.717304,8.815000,4.717331,1.390721,-4.417474,6.801601,0.000000
0.020000,4.743405,8.815000,4.743433,1.305092,-4.281442,6.801601,0.000000
0.020000,4.767849,8.815000,4.767876,1.222184,-4.145410,6.801601,0.000000
0.020000,4.790689,8.815000,4.790716,1.141996,-4.009378,6.801601,0.000000
0.020000,4.811980,8.815000,4.812007,1.064530,-3.873346,6.801601,0.000000
0.020000,4.831775,8.815000,4.831802,0.989783,-3.737314,6.801601,0.000000
0.020000,4.850130,8.815000,4.850158,0.917758,-3.601282,6.801601,0.000000
0.020000,4.867099,8.815000,4.867127,0.848453,-3.465250,6.801601,0.000000
0.020000,4.882737,8.815000,4.882764,0.781868,-3.329218,6.801601,0.000000
0.020000,4.897097,8.815000,4.897124,0.718005,-3.193186,6.801601,0.000000
0.020000,4.910234,8.815000,4.910261,0.656861,-3.057154,6.801601,0.000000
0.020000,4.922203,8.815000,4.922230,0.598439,-2.921122,6.801601,0.000000
0.020000,4.933058,8.815000,4.933085,0.542737,-2.785090,6.801601,0.000000
0.020000,4.942853,8.815000,4.942880,0.489756,-2.649058,6.801601,0.000000
0.020000,4.951643,8.815000,4.951670,0.439496,-2.513026,6.801601,0.000000
0.020000,4.959482,8.815000,4.959509,0.391956,-2.376994,6.801601,0.000000
0.020000,4.966425,8.815000,4.966452,0.347136,-2.240962,6.801601,0.000000
0.020000,4.972525,8.815000,4.972553,0.305038,-2.104930,6.801601,0.000000
0.020000,4.977838,8.815000,4.977866,0.265660,-1.968898,6.801601,0.000000
0.020000,4.982419,8.815000,4.982446,0.229003,-1.832866,6.801601,0.000000
0.020000,4.986320,8.815000,4.986347,0.195066,-1.696834,6.801601,0.000000
0.020000,4.989597,8.815000,4.989624,0.163850,-1.560802,6.801601,0.000000
0.020000,4.992304,8.815000,4.992331,0.135354,-1.424770,6.801601,0.000000
0.020000,4.994496,8.815000,4.994523,0.109580,-1.288738,6.801601,0.000000
0.020000,4.996226,8.815000,4.996253,0.086526,-1.152706,6.801601,0.000000
0.020000,4.997550,8.815000,4.997577,0.066192,-1.016674,6.801601,0.000000
0.020000,4.998521,8.815000,4.998549,0.048579,-0.880642,6.801601,0.000000
0.020000,4.999195,8.815000,4.999222,0.033687,-0.744610,6.801601,0.000000
0.020000,4.999626,8.815000,4.999653,0.021515,-0.608578,6.801601,0.000000
0.020000,4.999867,8.815000,4.999894,0.012065,-0.472546,6.801601,0.000000
0.020000,4.999974,8.815000,5.000001,0.005334,-0.336514,6.801601,0.000000
0.020000,5.000000,8.815000,5.000027,0.001325,-0.200482,6.801601,0.000000
0.020000,5.000000,8.815000,5.000027,0.000000,-0.066233,6.712445,0.000000
