dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.499752,3.441376,5.629666,0.472578,-2.610563,6.834688,1.562315
0.020000,3.499823,3.450333,5.638623,0.423100,-2.473870,6.834688,1.563625
0.020000,3.499875,3.458328,5.646617,0.376357,-2.337176,6.834688,1.564790
0.020000,3.499914,3.465415,5.653704,0.332347,-2.200482,6.834688,1.565819
0.020000,3.499942,3.471649,5.659938,0.291071,-2.063788,6.834688,1.566721
0.020000,3.499962,3.477084,5.665375,0.252530,-1.927095,6.834688,1.567507
0.020000,3.499976,3.481777,5.670067,0.216722,-1.790401,6.834688,1.568183
0.020000,3.499986,3.485781,5.674071,0.183647,-1.653707,6.834688,1.568759
0.020000,3.499992,3.489150,5.677440,0.153307,-1.517013,6.834688,1.569243
0.020000,3.499995,3.491940,5.680230,0.125701,-1.380319,6.834688,1.569643
0.020000,3.499998,3.494206,5.682496,0.100828,-1.243626,6.834688,1.569968
0.020000,3.499999,3.496000,5.684291,0.078690,-1.106932,6.834688,1.570224
0.020000,3.500000,3.497380,5.685671,0.059285,-0.970238,6.834688,1.570422
0.020000,3.500000,3.498399,5.686690,0.042614,-0.833544,6.834688,1.570568
0.020000,3.500000,3.499113,5.687402,0.028677,-0.696851,6.834688,1.570670
0.020000,3.500000,3.499574,5.687864,0.017474,-0.560157,6.834688,1.570735
0.020000,3.500000,3.499839,5.688129,0.009005,-0.423463,6.834688,1.570773
0.020000,3.500000,3.499962,5.688251,0.003269,-0.286769,6.834688,1.570791
0.020000,3.500000,3.499997,5.688287,0.000268,-0.150076,6.834688,1.570796
0.020000,3.500000,3.500000,5.688290,0.000000,-0.013382,6.834688,1.570796
0.020000,3.500000,3.500000,5.688290,0.000000,0.000000,0.669088,1.570796
